ID,Legacy Value,File,Line / Location,Context,Category,Classification,Risk,Recommended Canonical Value,Compatibility Requirement,Cross-Repository Contract,Recommended Action,Notes,Status
PX-019,DayDan,src/screens/OnboardingScreen.tsx,190,"Onboarding completion button","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","English shell label",Remediated
PX-020,DayDan,src/screens/SettingsScreen.tsx,318,"Sign-out dialog copy","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No session persistence exists",Remediated
PX-021,daydan,src/screens/SettingsScreen.tsx,329,"Theme-option array member","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Coupled to PX-001",Remediated
PX-022,daydan,src/screens/SettingsScreen.tsx,339,"Theme swatch conditional","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Coupled to PX-001",Remediated
PX-023,daydan,src/screens/SettingsScreen.tsx,341,"Theme label conditional","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Controls user-visible branch",Remediated
PX-024,DayDan,src/screens/SettingsScreen.tsx,341,"Theme user label","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","English shell label",Remediated
PX-025,daydan,src/screens/SettingsScreen.tsx,346,"Theme-description conditional","Runtime theme identifier","B - Technical Rename",Medium,dydan,"Atomic producer/consumer rename; no persistence found",No,"Rename with Theme union","Coupled to PX-001",Remediated
PX-026,DayDan,src/screens/SettingsScreen.tsx,526,"Export-data description","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No export implementation exists",Remediated
PX-027,DayDan,src/screens/SettingsScreen.tsx,573,"Support-team description","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No support URL exists",Remediated
PX-028,DayDan,src/screens/SettingsScreen.tsx,583,"Version description","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","Prototype version copy",Remediated
PX-029,DayDan,src/screens/SettingsScreen.tsx,597,"Copyright notice","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","No legal document or owner entity named",Remediated
PX-030,DayDan,src/screens/SharedStatesScreens.tsx,11,"Offline-state message","Product/UI identity","A - Safe Rename",Low,Dydan,None,No,"Rename displayed text","Offline behavior is simulated",Remediated
PX-031,daydan,tests/closure.spec.ts,139,"Onboarding heading assertion","Test assertion","B - Technical Rename",Low,dydan,"Update with visible heading",No,"Update alongside PX-018","No visual baseline or snapshot file exists",Remediated
PX-032,DayDan,src/imports/Dydan-Brand-Summary.md,1,"Imported brand-summary title","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-033,DayDan,src/imports/Dydan-Brand-Summary.md,3,"Imported-source provenance","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-034,Taskier,src/imports/Dydan-Brand-Summary.md,4,"Legacy-source explanation","Historical imported source","D - Intentionally Preserve",Low,"Retain Taskier as historical evidence",None,No,"Retain provenance statement","Explains inherited source identity",Audited
PX-035,DayDan,src/imports/Dydan-Brand-Summary.md,4,"Legacy-source interpretation target","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-036,DayDan,src/imports/Dydan-Brand-Summary.md,8,"Imported brand-intent text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-037,DayDan,src/imports/Dydan-Brand-Summary.md,49,"Imported identity guidance","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-038,Taskier,src/imports/Dydan-Brand-Summary.md,79,"Legacy-wordmark provenance","Historical imported source","D - Intentionally Preserve",Low,"Retain Taskier as historical evidence",None,No,"Retain provenance statement","Explains inherited source identity",Audited
PX-039,DayDan,src/imports/Dydan-Brand-Summary.md,79,"Legacy-wordmark interpretation target","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-040,DayDan,src/imports/Dydan-Brand-Summary.md,99,"Imported design-use guidance","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-041,Taskier,src/imports/DayDan-Color_Palette.html,8,"Standalone imported document title","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-042,Taskier,src/imports/DayDan-Color_Palette.html,16,"Legacy signal-token comment","Historical standalone source","D - Intentionally Preserve",Low,"Dydan when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not shipped",Audited
PX-043,taskier,src/imports/DayDan-Color_Palette.html,658,"SVG symbol id taskier-mark","Historical standalone source","D - Intentionally Preserve",Medium,"dydan-mark if regenerated","No app compatibility; assess references within regenerated asset",No,"Do not rename in isolation","Internal standalone-document reference",Audited
PX-044,Taskier,src/imports/DayDan-Color_Palette.html,673,"Standalone concept label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-045,Taskier,src/imports/DayDan-Color_Palette.html,689,"Standalone accessibility label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not shipped",Audited
PX-046,taskier,src/imports/DayDan-Color_Palette.html,690,"SVG use target","Historical standalone source","D - Intentionally Preserve",Medium,"dydan-mark if regenerated","No app compatibility; update with PX-043",No,"Do not rename in isolation","Internal standalone-document reference",Audited
PX-047,Taskier,src/imports/DayDan-Color_Palette.html,691,"Standalone English wordmark","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-048,تاسكير,src/imports/DayDan-Color_Palette.html,691,"Standalone Arabic wordmark","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-049,Taskier,src/imports/DayDan-Color_Palette.html,707,"Standalone lead text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-050,Taskier,src/imports/DayDan-Color_Palette.html,714,"Standalone image alt text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-051,taskier,src/imports/DayDan-Color_Palette.html,714,"Standalone SVG use target","Historical standalone source","D - Intentionally Preserve",Medium,"dydan-mark if regenerated","No app compatibility; update with PX-043",No,"Do not rename in isolation","Internal standalone-document reference",Audited
PX-052,Taskier,src/imports/DayDan-Color_Palette.html,716,"Standalone caption","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-053,Taskier,src/imports/DayDan-Color_Palette.html,749,"Standalone signal guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-054,Taskier,src/imports/DayDan-Color_Palette.html,769,"Standalone Office guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-055,Taskier,src/imports/DayDan-Color_Palette.html,800,"Standalone logo guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-056,Taskier,src/imports/DayDan-Color_Palette.html,805,"Standalone logo guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-057,Taskier,src/imports/DayDan-Color_Palette.html,807,"Standalone image alt text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-058,taskier,src/imports/DayDan-Color_Palette.html,807,"Standalone SVG use target","Historical standalone source","D - Intentionally Preserve",Medium,"dydan-mark if regenerated","No app compatibility; update with PX-043",No,"Do not rename in isolation","Internal standalone-document reference",Audited
PX-059,Taskier,src/imports/DayDan-Color_Palette.html,812,"Standalone token label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan Ink when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-060,Taskier,src/imports/DayDan-Color_Palette.html,819,"Standalone image alt text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-061,taskier,src/imports/DayDan-Color_Palette.html,819,"Standalone SVG use target","Historical standalone source","D - Intentionally Preserve",Medium,"dydan-mark if regenerated","No app compatibility; update with PX-043",No,"Do not rename in isolation","Internal standalone-document reference",Audited
PX-062,Taskier,src/imports/DayDan-Color_Palette.html,824,"Standalone token label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan Ink when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-063,Taskier,src/imports/DayDan-Color_Palette.html,836,"Standalone call-to-action text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-064,Taskier,src/imports/DayDan-Color_Palette.html,846,"Standalone footer text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-065,Taskier,src/imports/DayDan-Color_Palette.html,859,"English i18n document title","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-066,Taskier,src/imports/DayDan-Color_Palette.html,861,"English i18n concept label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-067,Taskier,src/imports/DayDan-Color_Palette.html,872,"English i18n accessibility label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-068,Taskier,src/imports/DayDan-Color_Palette.html,875,"English i18n lead text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-069,Taskier,src/imports/DayDan-Color_Palette.html,878,"English i18n image alt text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-070,Taskier,src/imports/DayDan-Color_Palette.html,879,"English i18n light caption","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-071,Taskier,src/imports/DayDan-Color_Palette.html,880,"English i18n dark caption","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-072,Taskier,src/imports/DayDan-Color_Palette.html,888,"English i18n preview text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-073,Taskier,src/imports/DayDan-Color_Palette.html,897,"English i18n signal guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-074,Taskier,src/imports/DayDan-Color_Palette.html,908,"English i18n logo guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-075,Taskier,src/imports/DayDan-Color_Palette.html,910,"English i18n logo guidance","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-076,Taskier,src/imports/DayDan-Color_Palette.html,913,"English i18n image alt text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-077,Taskier,src/imports/DayDan-Color_Palette.html,914,"English i18n image alt text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-078,Taskier,src/imports/DayDan-Color_Palette.html,916,"English i18n call-to-action","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-079,Taskier,src/imports/DayDan-Color_Palette.html,918,"English i18n footer text","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-080,تاسكير,src/imports/DayDan-Color_Palette.html,935,"Arabic i18n document title","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-081,تاسكير,src/imports/DayDan-Color_Palette.html,937,"Arabic i18n concept label","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-082,تاسكير,src/imports/DayDan-Color_Palette.html,948,"Arabic i18n accessibility label","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-083,تاسكير,src/imports/DayDan-Color_Palette.html,951,"Arabic i18n lead text","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-084,تاسكير,src/imports/DayDan-Color_Palette.html,954,"Arabic i18n image alt text","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-085,تاسكير,src/imports/DayDan-Color_Palette.html,955,"Arabic i18n light caption","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-086,تاسكير,src/imports/DayDan-Color_Palette.html,956,"Arabic i18n dark caption","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-087,تاسكير,src/imports/DayDan-Color_Palette.html,964,"Arabic i18n preview text","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-088,تاسكير,src/imports/DayDan-Color_Palette.html,973,"Arabic i18n signal guidance","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-089,تاسكير,src/imports/DayDan-Color_Palette.html,984,"Arabic i18n logo guidance","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-090,تاسكير,src/imports/DayDan-Color_Palette.html,986,"Arabic i18n logo guidance","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-091,تاسكير,src/imports/DayDan-Color_Palette.html,989,"Arabic i18n image alt text","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-092,تاسكير,src/imports/DayDan-Color_Palette.html,990,"Arabic i18n image alt text","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-093,تاسكير,src/imports/DayDan-Color_Palette.html,992,"Arabic i18n call-to-action","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-094,تاسكير,src/imports/DayDan-Color_Palette.html,994,"Arabic i18n footer text","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-095,Taskier,src/imports/DayDan-Color_Palette.html,1058,"Role token English label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan Ink when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-096,تاسكير,src/imports/DayDan-Color_Palette.html,1058,"Role token Arabic label","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-097,Taskier,src/imports/DayDan-Color_Palette.html,1097,"Mode description English label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-098,تاسكير,src/imports/DayDan-Color_Palette.html,1097,"Mode description Arabic label","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-099,Taskier,src/imports/DayDan-Color_Palette.html,1119,"Office token English label","Historical standalone source","D - Intentionally Preserve",Low,"Dydan Ink when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Not imported by application code",Audited
PX-100,تاسكير,src/imports/DayDan-Color_Palette.html,1119,"Office token Arabic label","Historical standalone source","D - Intentionally Preserve",Low,"دَيْدَن when regenerated",None,No,"Retain or regenerate/archive as a whole artifact","Derived inherited Arabic identity",Audited
PX-101,taskier,src/imports/DayDan-Color_Palette.html,1269,"Standalone localStorage language key","Historical standalone source","D - Intentionally Preserve",High,"dydan-lang if asset is regenerated","No runtime compatibility; migration required only if asset is served",No,"Do not rename unless artifact lifecycle is approved","Currently unbundled; reclassify C if deployed",Audited
PX-102,taskier,src/imports/DayDan-Color_Palette.html,1285,"Standalone localStorage theme key","Historical standalone source","D - Intentionally Preserve",High,"dydan-surface if asset is regenerated","No runtime compatibility; migration required only if asset is served",No,"Do not rename unless artifact lifecycle is approved","Currently unbundled; reclassify C if deployed",Audited
PX-103,taskier,src/imports/DayDan-Color_Palette.html,1333,"Standalone localStorage language-key read","Historical standalone source","D - Intentionally Preserve",High,"dydan-lang if asset is regenerated","No runtime compatibility; migration required only if asset is served",No,"Do not rename unless artifact lifecycle is approved","Read side of PX-101",Audited
PX-104,taskier,src/imports/DayDan-Color_Palette.html,1334,"Standalone localStorage theme-key read","Historical standalone source","D - Intentionally Preserve",High,"dydan-surface if asset is regenerated","No runtime compatibility; migration required only if asset is served",No,"Do not rename unless artifact lifecycle is approved","Read side of PX-102",Audited
PX-105,DayDan,src/imports/Sovereign-Brand-Summary.md,127,"Imported comparative brand guidance","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-106,DayDan,src/imports/Sovereign-Brand-Summary.md,128,"Imported comparative brand guidance","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن when regenerated",None,No,"Retain as historical input or regenerate under owner direction","Unbundled Figma input",Audited
PX-107,DayDan,src/imports/pasted_text/daydan-product-brief.md,1,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-108,DayDan,src/imports/pasted_text/daydan-product-brief.md,8,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-109,DayDan,src/imports/pasted_text/daydan-product-brief.md,12,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-110,DayDan,src/imports/pasted_text/daydan-product-brief.md,32,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-111,DayDan,src/imports/pasted_text/daydan-product-brief.md,43,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-112,DayDan,src/imports/pasted_text/daydan-product-brief.md,56,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-113,DayDan,src/imports/pasted_text/daydan-product-brief.md,118,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-114,DayDan,src/imports/pasted_text/daydan-product-brief.md,119,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-115,DayDan,src/imports/pasted_text/daydan-product-brief.md,203,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-116,DayDan,src/imports/pasted_text/daydan-product-brief.md,216,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-117,DayDan,src/imports/pasted_text/daydan-product-brief.md,490,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-118,DAYDAN,src/imports/pasted_text/daydan-product-brief.md,502,"Original Figma prompt text","Historical imported source","D - Intentionally Preserve",Low,"Dydan / دَيْدَن in a regenerated brief",None,No,"Retain prompt as historical evidence or replace with approved source","No runtime import",Audited
PX-119,DayDan,src/imports/Dydan-Brand-Summary.md,"Path","Legacy imported filename","Historical path identifier","D - Intentionally Preserve",Low,"Dydan-Brand-Summary.md if regenerated",None,No,"Retain or rename only with regenerated import artifact","Path is not a runtime asset reference",Audited
PX-120,DayDan,src/imports/DayDan-Color_Palette.html,"Path","Legacy imported filename","Historical path identifier","D - Intentionally Preserve",Low,"Dydan-Color_Palette.html if regenerated",None,No,"Retain or rename only with regenerated import artifact","Path is not a runtime asset reference",Audited
PX-121,daydan,src/imports/pasted_text/daydan-product-brief.md,"Path","Legacy imported filename","Historical path identifier","D - Intentionally Preserve",Low,"dydan-product-brief.md if regenerated",None,No,"Retain or rename only with regenerated import artifact","Path is not a runtime asset reference",Audited
